0,quantumstyle shirt,4POI89,odziez,1243.20,205
1,datavista desk,7YQT92,technologia,1156.40,147
2,chicflair chair,2XZL87,mebel,1055.90,94
3,lunacraft pants,4GBN67,odziez,1247.65,189
4,moduluxe sofa,2RWP33,mebel,822.40,120
5,technoshift keyboard,7VOM54,technologia,1049.10,256
6,vintagesync shelf,2KLO78,mebel,809.35,78
7,urbanpulse jacket,4RBN99,odziez,982.05,101
8,pixelcraft bed,2NBV99,mebel,1196.30,168
9,codeflare jeans,4CVB33,odziez,1099.45,143
10,softpulse mirror,2ZXC12,mebel,849.95,73
11,quantumluxe table,2YXC44,mebel,1152.30,162
12,cyberstyle hoodie,4WNK77,odziez,1229.55,217
13,aurodrive dresser,2GHY65,mebel,1267.20,77
14,techotrend mouse,7DJQ67,technologia,1075.05,252
15,voguevibe pants,4UHB45,odziez,827.90,114
16,quantumsync chair,2OPQ98,mebel,827.15,196
17,byteboost bed,2JKL33,mebel,1141.05,130
18,pixelaura desk,7FGT32,technologia,1134.50,165
19,vortexcraze shirt,4LMK44,odziez,1041.85,82
20,urbanflux shelf,2CDE77,mebel,1235.65,134
21,lunasync pants,4XYK16,odziez,805.00,109
22,chiccraze keyboard,7RTV83,technologia,1179.80,237
23,quantumvibe sofa,2KLO21,mebel,1241.10,153
24,dataflare jacket,4FVB56,odziez,946.80,95
25,softsync bed,2ZXC44,mebel,1224.55,186
26,codecraft chair,2XSW77,mebel,1208.20,122
27,vintagepulse jeans,4IJK89,odziez,1221.70,202
28,technoflair desk,7IKL78,technologia,881.65,88
29,modulounge mirror,2NBV56,mebel,1066.95,110
30,pixelstyle shirt,4JKL21,odziez,1080.35,81
31,datavista desk,7JMB29,technologia,1164.80,118
32,chicflair chair,2XDR44,mebel,1279.70,157
33,lunacraft pants,4PLM78,odziez,804.25,132
34,moduluxe sofa,2RQS88,mebel,1137.15,176
35,technoshift keyboard,7UHB33,technologia,878.75,85
36,vintagesync shelf,2FJK32,mebel,986.95,147
37,urbanpulse jacket,4CVB11,odziez,1158.85,73
38,pixelcraft bed,2LKM77,mebel,936.80,98
39,codeflare jeans,4RTY45,odziez,1228.80,115
40,softpulse mirror,2XSW77,mebel,1167.45,81
41,quantumluxe table,2FJK32,mebel,887.80,141
42,cyberstyle hoodie,4POI32,odziez,1003.60,168
43,aurodrive dresser,2YUI76,mebel,993.65,88
44,techotrend mouse,7NBV45,technologia,1212.40,129
45,voguevibe pants,4RNB44,odziez,1285.20,254
46,quantumsync chair,2JHG99,mebel,16.75,190
47,byteboost bed,2FDR43,mebel,29.90,203
48,pixelaura desk,7FJK21,technologia,11.25,145
49,vortexcraze shirt,4IJK76,odziez,8.99,113
50,urbanflux shelf,2BGH32,mebel,43.50,79
51,lunasync pants,4CVB33,odziez,20.75,167
52,chiccraze keyboard,7YHN56,technologia,39.70,131
53,quantumvibe sofa,2UJK56,mebel,15.80,176
54,dataflare jacket,4RBN99,odziez,6.99,155
55,softsync bed,2CVB56,mebel,22.45,193
56,codecraft chair,2UIO32,mebel,140.99,168
57,vintagepulse jeans,4UIO44,odziez,25.50,213
58,technoflair desk,7UIO51,technologia,48.10,123
59,modulounge mirror,2CVB56,mebel,13.75,94
60,quantumstyle shirt,4PLQ89,odziez,45.65,202
61,datavista desk,7LMN32,technologia,17.90,119
62,chicflair chair,2UIO89,mebel,26.65,177
63,lunacraft pants,4LKJ56,odziez,21.99,127
64,moduluxe sofa,2CVB76,mebel,14.75,90
65,technoshift keyboard,7VBN45,technologia,7.00,185
66,vintagesync shelf,2LKJ88,mebel,15.95,146
67,urbanpulse jacket,4POI89,odziez,12.99,163
68,pixelcraft bed,2CVB56,mebel,35.00,91
69,codeflare jeans,4CVB98,odziez,22.80,149
70,softpulse mirror,2UIO32,mebel,11.70,158
71,quantumluxe table,2CVB56,mebel,23.70,191
72,cyberstyle hoodie,4HBN43,odziez,14.30,105
73,aurodrive dresser,2UIO89,mebel,24.85,184
74,techotrend mouse,7QWE45,technologia,11.49,98
75,voguevibe pants,4CVB45,odziez,14.45,122
76,quantumsync chair,2CVB76,mebel,24.99,97
77,byteboost bed,2UIO32,mebel,13.20,204
78,pixelaura desk,7NVB76,technologia,20.90,169
79,vortexcraze shirt,4POI32,odziez,14.90,179
80,urbanflux shelf,2CVB56,mebel,826.15,133
81,lunasync pants,4JKL21,odziez,257.50,123
82,chiccraze keyboard,7BGT44,technologia,633.80,176
83,quantumvibe sofa,2UIO89,mebel,1086.20,101
84,dataflare jacket,4UIN78,odziez,94.75,142
85,softsync bed,2CVB76,mebel,550.05,188
86,codecraft chair,2UIO32,mebel,421.15,110
87,vintagepulse jeans,4ZXC34,odziez,731.90,102
88,technoflair desk,7NVB23,technologia,282.60,141
89,modulounge mirror,2CVB56,mebel,117.50,184
90,quantumstyle shirt,4BNM99,odziez,724.25,109
91,lunacraft socks,4LKX76,odziez,8.99,283
92,softshell mirror,2UI80C,mebel,185.00,32
93,blaze keyboard,7CG0X4,technologia,120.99,21
94,hunter mouse,79H8S4,technologia,49.99,43
95,pearl jeans,4ZU134,odziez,89.00,8
96,black jeans,4CI294,odziez,89.00,12
97,polish desc,2PF98V,mebel,145.99,13
98,christmas table,2IQ789,mebel,133.95,2
99,chiccraze wires,7J6C91,technologia,2.99,20
100,igor lewicki,111111,autor,100.00,1
